ID,Title,Definition
1528414070,Typhoid fever,"A condition caused by an infection with the gram-negative bacteria Salmonella typhi. This condition is characterised by an acute sustained fever. This condition may present with weakness, stomach pains, headache, loss of appetite, or flat, rose-coloured spots. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Salmonella typhi in a faecal or blood sample."
2033800177,Post typhoid abscess,No definition available
666763630,Typhoid ulcer,No definition available
55117941,Typhoid arthritis,No definition available
367810165,Typhoid fever with heart involvement,"This is a common worldwide bacterial disease, transmitted by the ingestion of food or water contaminated with the faeces of an infected person, which contain the bacterium Salmonella typhi, serotype Typhi. This diagnosis is with heart involvement."
425206566,Typhoid endocarditis,No definition available
1405318207,Typhoid myocarditis,No definition available
1890032609,Typhoid pneumonia,No definition available
1711457761,Typhoid osteomyelitis,No definition available
1631651468,Typhoid meningitis,No definition available
866256108,Typhogastric fever,No definition available
1758228980,Typhoid enteritis,"This refers to inflammation of the small intestine due to infection with bacteria, Salmonella typhi."
870337546,Typhoid bowel ulcer,No definition available
587904348,Typhoid colitis,"This refers to inflammation of the large intestine due to infection of bacteria, Salmonella typhi."
364534567,Typhoid peritonitis,No definition available
1780040028,Paratyphoid fever,"A condition caused by an infection with the gram-negative bacteria Salmonella paratyphi. This condition is characterised by an acute sustained fever. The individual may feel weak, have stomach pains, headache, loss of appetite, or a rash of flat, rose-coloured spots. Transmission is by ingestion of contaminated food or water. Confirmation is by identification of Salmonella paratyphi in a faecal or blood sample."
1045590756,Paratyphoid fever A,"Paratyphoid fever A is caused by Salmonella enterica serotype paratyphi A (Salmonella paratyphi A) and is similar to typhoid fever. Salmonella paratyphi A is isolated much less frequently than Salmonella typhi. In biochemical testing Salmonella paratyphi A isolates on TSI/KIA (Triple Sugar Iron Agar/Kligler Iron Agar) are usually K/AG (K = alkaline; A = acid; G = gas production) and do not produce H2S (Hydrogen sulfide). Unlike most other Salmonella, Salmonella paratyphi A isolates are lysine-negative and appear yellow on LIA (Lysine iron agar)."
1704920593,Enteritis due to paratyphoid fever A,No definition available
25782079,Colitis due to paratyphoid fever A,No definition available
1258234397,Paratyphoid fever B,"Paratyphoid fever B is caused by Salmonella enterica serotype paratyphi B (Salmonella paratyphi B). A tartrate fermenting variant, referred to as serovar Paratyphi B var L(+) tartrate +, or variant Java, is associated with routine gastrointestinal disease."
416227453,Enteritis due to paratyphoid fever B,No definition available
345609254,Colitis due to paratyphoid fever B,No definition available
800386953,Paratyphoid fever C,Paratyphoid fever C is caused by Salmonella enterica serotype paratyphi C (Salmonella paratyphi C) and is similar to typhoid fever. Salmonella paratyphi C (Salmonella hirschfeldii) is isolated much less frequently than Salmonella typhi.
1781535490,Enteritis due to paratyphoid fever C,No definition available
725907799,Colitis due to paratyphoid fever C,No definition available
515117475,Infections due to other Salmonella,No definition available
1520312138,Salmonella enteritis,"This refers to inflammation of the small intestine due to infection with bacteria of the genus Salmonella, a member of the family Enterobacteriaceae. Bacteria of the genus Salmonella are rod-shaped, Gram-negative, non-spore-forming and predominantly motile."
113855390,Salmonella arthritis,No definition available
971069309,Salmonella meningitis,No definition available
1410885722,Salmonella osteomyelitis,No definition available
748684360,Renal tubulo-interstitial disorders due to salmonella infection,No definition available
622539597,Salmonella pneumonia,No definition available
1070977756,Sepsis due to Salmonella infection without mention of septic shock,"A condition caused by an infection with the gram-negative bacteria Salmonella that leads to a severe systemic inflammatory response. This condition commonly presents with fever, tachycardia, and hypotension. Transmission is commonly by ingestion of contaminated food or water. Confirmation is by identification of Salmonella from blood, urine, cerebrospinal fluid, wounds, or respiratory secretions."
114861782,Sepsis due to Salmonella infection with septic shock,No definition available
2080365623,Intestinal infections due to Shigella,"A disease caused by an infection with the gram-negative bacteria genus Shigella. This disease is characterised by an acute onset of small volume diarrhoea, accompanied by fever and nausea. This disease may also present with toxaemia, vomiting, cramps, and tenesmus. Transmission is by ingestion of contaminated food, or direct contact. Confirmation is by identification of Shigella in a faecal sample."
1181145033,Shigellosis due to Shigella dysenteriae,"A condition caused by an infection with the gram-negative bacteria Shigella dysenteriae. This condition is characterised by diarrhoea, fever, or stomach cramps. Transmission is commonly by the faecal-oral route, potentially by ingestion of contaminated foods, or direct contact. Confirmation is by identification of Shigella dysenteriae in a faecal sample."
1088295491,Enteritis in shigellosis due to Shigella dysenteriae,"This refers to inflammation of the small intestine due to infection of bacteria, Shigella dysenteriae."
371596818,Colitis in shigellosis due to Shigella dysenteriae,"This refers to inflammation of the large intestine due to infection of bacteria, Shigella dysenteriae."
590158429,Shigellosis due to Shigella flexneri,"A condition caused by an infection with the gram-negative bacteria Shigella flexneri. This condition is characterised by diarrhoea, fever, or stomach cramps. Transmission is commonly by the faecal-oral route, possibly by ingestion of contaminated foods, or direct contact. Confirmation is by identification of Shigella flexneri in a faecal sample."
79738335,Enteritis in shigellosis due to Shigella flexneri,"This refers to inflammation of the small intestine due to infection of bacteria, Shigella flexneri."
565526380,Colitis in shigellosis due to Shigella flexneri,"This refers to inflammation of the large intestine due to infection of bacteria, Shigella flexneri."
1468025508,Shigellosis due to Shigella boydii,"A condition caused by an infection with the gram-negative bacteria Shigella boydii. This condition is characterised by diarrhoea, fever, or stomach cramps. Transmission is commonly by the faecal-oral route, possibly by ingestion of contaminated foods or direct contact. Confirmation is by identification of Shigella boydii in a faecal sample."
2097835090,Enteritis in shigellosis due to Shigella boydii,"This refers to inflammation of the small intestine due to infection of bacteria, Shigella boydii."
980970745,Colitis in shigellosis due to Shigella boydii,"This refers to inflammation of the large intestine due to infection of bacteria, Shigella boydii."
852199222,Shigellosis due to Shigella sonnei,"A condition caused by an infection with the gram-negative bacteria Shigella sonnei. This condition is characterised by diarrhoea, fever, or stomach cramps. Transmission is commonly by the faecal-oral route, possibly by ingestion of contaminated foods, or direct contact. Confirmation is by identification of Shigella sonnei in a faecal sample."
1884887987,Enteritis in shigellosis due to Shigella sonnei,"This refers to inflammation of the small intestine due to infection of bacteria, Shigella sonnei."
141670656,Colitis in shigellosis due to Shigella sonnei,"This refers to inflammation of the large intestine due to infection of bacteria, Shigella sonnei."
704377697,Bacterial colitis due to Shigella,"This refers to inflammation of the large intestine due to infection of the genus Shigella, a genus of Gram-negative, non-spore forming, non-motile, rod-shaped bacteria closely related to Salmonella, which includes some species that cause dysentery."
371596818,Colitis in shigellosis due to Shigella dysenteriae,"This refers to inflammation of the large intestine due to infection of bacteria, Shigella dysenteriae."
565526380,Colitis in shigellosis due to Shigella flexneri,"This refers to inflammation of the large intestine due to infection of bacteria, Shigella flexneri."
980970745,Colitis in shigellosis due to Shigella boydii,"This refers to inflammation of the large intestine due to infection of bacteria, Shigella boydii."
141670656,Colitis in shigellosis due to Shigella sonnei,"This refers to inflammation of the large intestine due to infection of bacteria, Shigella sonnei."
1955742846,Bacterial enteritis due to Shigella,"This refers to inflammation of the small intestine due to infection of the genus Shigella, a genus of Gram-negative, non-spore forming, non-motile, rod-shaped bacteria closely related to Salmonella. which includes some species that cause dysentery."
1088295491,Enteritis in shigellosis due to Shigella dysenteriae,"This refers to inflammation of the small intestine due to infection of bacteria, Shigella dysenteriae."
79738335,Enteritis in shigellosis due to Shigella flexneri,"This refers to inflammation of the small intestine due to infection of bacteria, Shigella flexneri."
2097835090,Enteritis in shigellosis due to Shigella boydii,"This refers to inflammation of the small intestine due to infection of bacteria, Shigella boydii."
1884887987,Enteritis in shigellosis due to Shigella sonnei,"This refers to inflammation of the small intestine due to infection of bacteria, Shigella sonnei."
793651617,Sepsis due to shigella without mention of septic shock,No definition available
458723679,Sepsis due to shigella with septic shock,No definition available
344162786,Intestinal infections due to Escherichia coli,"Any condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli."
2099226249,Enteropathogenic Escherichia coli infection,"An infection of the gastrointestinal system, caused by the gram-negative bacteria Escherichia coli. It is characterised by acute, profuse, watery diarrhoea. Transmission is by the faecal-oral route from contaminated food, water, or fomites. Confirmation is by identification of enteropathogenic Escherichia coli (EPEC) in a faecal sample."
1316031944,Enteritis in enteropathogenic Escherichia coli infection,"This refers to inflammation of the small intestine due to infection of bacteria, enteropathogenic Escherichia coli (EPEC), strains of E. coli, which cause enteritis by close association with enteric cells. This is an important cause of traveller's diarrhoea."
461412451,Colitis in enteropathogenic Escherichia coli infection,"This refers to inflammation of the large intestine due to infection of bacteria, enteropathogenic Escherichia coli (EPEC), strains of E. coli, which cause enteritis by close association with colonic cells. This is an important cause of traveller's diarrhoea."
408185629,Enterotoxigenic Escherichia coli infection,"A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli. This condition is characterised by acute, watery diarrhoea due to toxins released from the bacteria. Transmission is by the faecal-oral route from ingestion of contaminated food, water, or fomites. Confirmation is by identification of enterotoxigenic Escherichia coli (ETEC) in faecal sample."
389125444,Enteritis in enterotoxigenic Escherichia coli infection,"This refers to inflammation of the small intestine due to infection of bacteria, enterotoxigenic Escherichia coli (ETEC), strains of E. coli. The main hallmarks of this type of bacteria of are expression of one or more enterotoxins and presence of fimbriae used for attachment to host intestinal cells. Infection with ETEC is the leading cause of travellers' diarrhoea and a major cause of diarrheal disease in underdeveloped nations."
862390848,Colitis in enterotoxigenic Escherichia coli infection,"This refers to inflammation of the large intestine due to infection of bacteria, enterotoxigenic Escherichia coli (ETEC), strains of E. coli. The main hallmarks of this type of bacteria of are expression of one or more enterotoxins and presence of fimbriae used for attachment to host intestinal cells. Infection with ETEC is the leading cause of travellers' diarrhoea and a major cause of diarrheal disease in underdeveloped nations."
1828273122,Enteroinvasive Escherichia coli infection,"A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli. This condition is characterised by acute and profuse diarrhoea (that may be haemorrhagic), fever, and abdominal cramps. Transmission is by the faecal-oral route from ingestion of contaminated food or water. Confirmation is by identification of enteroinvasive Escherichia coli (EIEC) in a faecal sample."
987079843,Enteritis in enteroinvasive Escherichia coli infection,"This refers to inflammation of the small intestine due to infection of bacteria, enteroinvasive Escherichia coli (EIEC), strains of E. coli. EIEC infection often causes profuse diarrhoea and high fever. EIEC are highly invasive, and they utilize adhesin proteins to bind to and enter intestinal cells."
645396827,Colitis in enteroinvasive Escherichia coli infection,"This refers to inflammation of the large intestine due to infection of bacteria, enteroinvasive Escherichia coli (EIEC), strains of E. coli. EIEC infection often causes profuse diarrhoea and high fever. EIEC are highly invasive, and they utilize adhesin proteins to bind to and enter colonic cells."
162723448,Enterohaemorrhagic Escherichia coli infection,No definition available
931582784,Enteritis in enterohaemorrhagic Escherichia coli infection,"This refers to inflammation of the small intestine due to infection of bacteria, enterohaemorrhagic Escherichia coli (EHEC), strains of E. coli, including Escherichia coli O157,H7. EHEC is a subset of pathogenic E. coli that can cause haemorrhagic diarrhoea in humans which occasionally progresses to haemolytic uremic syndrome (HUS)."
525060016,Colitis in enterohaemorrhagic Escherichia coli infection,"This refers to inflammation of the large intestine due to infection of bacteria, enterohaemorrhagic Escherichia coli (EHEC), strains of E. coli, including Escherichia coli O157:H7. EHEC is a subset of pathogenic E. coli that can cause haemorrhagic diarrhoea in humans which occasionally progresses to haemolytic uremic syndrome (HUS)."
950749043,Enteroaggregative Escherichia coli infection,No definition available
374645015,Bacterial colitis due to Escherichia coli,"This refers to inflammation of the large intestine due to a bacillus (Escherichia coli), a Gram-negative, rod-shaped bacterium that is commonly found in the human gastrointestinal tract and existing as numerous strains, some of which are responsible for diarrheal diseases."
461412451,Colitis in enteropathogenic Escherichia coli infection,"This refers to inflammation of the large intestine due to infection of bacteria, enteropathogenic Escherichia coli (EPEC), strains of E. coli, which cause enteritis by close association with colonic cells. This is an important cause of traveller's diarrhoea."
862390848,Colitis in enterotoxigenic Escherichia coli infection,"This refers to inflammation of the large intestine due to infection of bacteria, enterotoxigenic Escherichia coli (ETEC), strains of E. coli. The main hallmarks of this type of bacteria of are expression of one or more enterotoxins and presence of fimbriae used for attachment to host intestinal cells. Infection with ETEC is the leading cause of travellers' diarrhoea and a major cause of diarrheal disease in underdeveloped nations."
645396827,Colitis in enteroinvasive Escherichia coli infection,"This refers to inflammation of the large intestine due to infection of bacteria, enteroinvasive Escherichia coli (EIEC), strains of E. coli. EIEC infection often causes profuse diarrhoea and high fever. EIEC are highly invasive, and they utilize adhesin proteins to bind to and enter colonic cells."
525060016,Colitis in enterohaemorrhagic Escherichia coli infection,"This refers to inflammation of the large intestine due to infection of bacteria, enterohaemorrhagic Escherichia coli (EHEC), strains of E. coli, including Escherichia coli O157:H7. EHEC is a subset of pathogenic E. coli that can cause haemorrhagic diarrhoea in humans which occasionally progresses to haemolytic uremic syndrome (HUS)."
1301112226,Bacterial enteritis due to Escherichia coli,"This refers to inflammation of the small intestine due to a bacillus (Escherichia coli), a Gram-negative, rod-shaped bacterium that is commonly found in the human gastrointestinal tract and existing as numerous strains, some of which are responsible for diarrheal diseases."
1316031944,Enteritis in enteropathogenic Escherichia coli infection,"This refers to inflammation of the small intestine due to infection of bacteria, enteropathogenic Escherichia coli (EPEC), strains of E. coli, which cause enteritis by close association with enteric cells. This is an important cause of traveller's diarrhoea."
389125444,Enteritis in enterotoxigenic Escherichia coli infection,"This refers to inflammation of the small intestine due to infection of bacteria, enterotoxigenic Escherichia coli (ETEC), strains of E. coli. The main hallmarks of this type of bacteria of are expression of one or more enterotoxins and presence of fimbriae used for attachment to host intestinal cells. Infection with ETEC is the leading cause of travellers' diarrhoea and a major cause of diarrheal disease in underdeveloped nations."
987079843,Enteritis in enteroinvasive Escherichia coli infection,"This refers to inflammation of the small intestine due to infection of bacteria, enteroinvasive Escherichia coli (EIEC), strains of E. coli. EIEC infection often causes profuse diarrhoea and high fever. EIEC are highly invasive, and they utilize adhesin proteins to bind to and enter intestinal cells."
931582784,Enteritis in enterohaemorrhagic Escherichia coli infection,"This refers to inflammation of the small intestine due to infection of bacteria, enterohaemorrhagic Escherichia coli (EHEC), strains of E. coli, including Escherichia coli O157,H7. EHEC is a subset of pathogenic E. coli that can cause haemorrhagic diarrhoea in humans which occasionally progresses to haemolytic uremic syndrome (HUS)."
250688797,Intestinal infections due to Clostridioides difficile,"A disease of the colon, caused by an infection with toxigenic strains of the gram-positive bacteria Clostridioides difficile (formerly known as Clostridium difficile). This disease is characterised by colitis, diarrhoea, abdominal pain, and fever. Transmission is commonly by direct or indirect contact. A disturbance of the normal bacterial flora of the colon, e.g. due to antibiotic treatment, facilitates the development of an intestinal infection with Clostridioides difficile. Confirmation is by identification of Clostridioides difficile in a faecal sample."
2114593305,Pseudomembranous colitis,"Pseudomembranous colitis is infection of the large intestine (colon) with an overgrowth of Clostridioides difficile (formerly known as Clostridium difficile). The overgrowth of Clostridioides difficile bacteria may occur if one takes antibiotics due to a disturbance of the intestinal flora (antibiotic-associated diarrhoea). Pseudomembranous colitis specifically describes the formation of a membranous exudate in the colon, which occurs in approximately half of cases of C. difficile colitis. The illness is characterised by intractable diarrhoea, fever and abdominal pain, and in severe cases life-threatening complications can develop, such as toxic megacolon."
1047622632,Megacolon due to Clostridioides difficile,No definition available
1000894786,Intestinal infections due to Yersinia enterocolitica,"A disease of the intestinal tract, caused by an infection with the gram-negative bacteria Yersinia enterocolitica. This disease commonly presents with a fever, diarrhoea, or abdominal pain. This disease may also lead to a systemic infection. Transmission is by the faecal-oral route from the ingestion of contaminated food or water, or direct contact with infected individuals or animal. Confirmation is by identification of Yersinia enterocolitica in a faecal sample."
1807415433,Enteritis due to Yersinia enterocolitica,"This refers to inflammation of the small intestine due to infection of bacteria, Yersinia enterocolitica, a pleomorphic gram-negative bacillus that belongs to the family Enterobacteriaceae. As a human pathogen, Yersinia enterocolitica is most frequently associated with acute diarrhoea, terminal ileitis, mesenteric lymphadenitis, and pseudoappendicitis."
433889502,Postinfectious arthropathy in enteritis due to Yersinia enterocolitica,No definition available
173749429,Colitis due to Yersinia enterocolitica,"This refers to inflammation of the large intestine due to infection of bacteria, Yersinia enterocolitica, a pleomorphic gram-negative bacillus that belongs to the family Enterobacteriaceae. As a human pathogen."
433889502,Postinfectious arthropathy in enteritis due to Yersinia enterocolitica,No definition available
794462570,Gastroenteritis due to Campylobacter,No definition available
521644150,Enteritis due to Campylobacter,"This refers to inflammation of the small intestine due to infection of bacteria, Campylobacter, a genus of spirally curved motile gram-negative rod-shaped bacteria of which some are pathogenic. This will cause acute enteric disease of variable severity characterised by diarrhoea (frequently with bloody stools), abdominal pain, malaise, fever, nausea and/or vomiting."
886535028,Colitis due to Campylobacter,"This refers to inflammation of the large intestine due to infection of bacteria, Campylobacter, a genus of spirally curved motile gram-negative rod-shaped bacteria of which some are pathogenic. This will cause acute enteric disease of variable severity characterised by diarrhoea (frequently with bloody stools), abdominal pain, malaise, fever, nausea and/or vomiting."
1151962231,Enteritis due to Enterobacter,"This refers to an inflammation of the small intestine, due to an infection with bacteria of the genus Enterobacter, a member of the family Enterobacteriaceae. Bacteria of the genus Enterobacter are common Gram-negative, facultatively anaerobic, rod-shaped bacteria."
2143116824,Abdominal actinomycosis,"This is a cervicofacial infectious bacterial disease caused by Actinomyces species such as Actinomyces israelii or A. gerencseriae. It can also be caused by Propionibacterium propionicus, and the condition is likely to be polymicrobial aerobic anaerobic infection."
1411711614,Enteritis due to Actinomyces,"This refers to inflammation of the small intestine, caused by an infectious bacterial disease caused by Actinomyces species such as Actinomyces israelii or Actinomyces gerencseriae."
1246116465,Colitis due to Actinomyces,No definition available
1681048785,Colitis due to methicillin resistant Staphylococcus aureus,"This is an inflammation of the large intestine caused by infection with any strain of Staphylococcus aureus that has developed, through the process of evolution, resistance to the vast majority of beta-lactam antibiotics, which include the penicillins (methicillin, dicloxacillin, nafcillin, oxacillin, etc.) and the vast majority of cephalosporins."
1446711512,Colitis due to Pseudomonas aeruginosa,This is an inflammation of the large intestine caused by infection with Pseudomonas aeruginosa.
1776745893,Colitis due to Klebsiella oxytoca,This is an inflammation of the large intestine caused by infection with Klebsiella oxytoca.
1584782555,Colonic spirochaetosis,This refers to a condition defined histologically by the presence of spirochetal microorganisms attached to the apical cell membrane of the colorectal epithelium.
1989299962,Secondary syphilitic proctocolitis,"This refers to a proctocolitis due to syphilis in the second of three stages, that is venereal disease caused by Treponema pallidum."
2017284467,Brachyspira colitis,"This is a disease in the colon caused by the bacterium Brachyspira pilosicoli, that is a member of the Spirochaeta family."
974967764,Listerial gastroenteritis,No definition available
858691435,Megacolon due to infectious colitis,No definition available
1047622632,Megacolon due to Clostridioides difficile,No definition available
1851734799,Bacterial colitis,No definition available
36782675,Enteritis due to Pseudomonas aeruginosa,This refers to an inflammation of the small intestine due to an infection with Pseudomonas aeruginosa. It is most commonly caused by the ingestion of substances contaminated with pathogenic microorganisms.
125643609,Neonatal bacterial intestinal infection,No definition available
1834648119,Bacterial foodborne intoxications,Any condition caused by an intoxication due to a bacterial toxin. Intoxication is by ingestion of contaminated food.
1642556936,Foodborne staphylococcal intoxication,No definition available
78422942,Botulism,"A disease caused by an infection with the gram-positive bacteria Clostridium botulinum. This disease commonly presents with abdominal pain, vomiting, acute paralysis, blurred vision, diplopia, and may be fatal. Transmission is by ingestion of contaminated food, direct contact, or from accidental overdose. Confirmation is by identification of Clostridium botulinum in a faecal or food sample."
2033726602,Foodborne intoxication by botulinum toxin,No definition available
1393712712,Other forms of botulism,No definition available
1881625139,Inhalational botulism,"Inhalational botulism is a man-made form of botulism, a rare acquired neuromuscular junction disease with descending flaccid paralysis caused by botulinum neurotoxins (BoNTs). The disease results from accidental or intentional release of aerosolized BoNTs."
230654666,Iatrogenic botulism,"Iatrogenic botulism is the most recent man-made form of botulism, a rare acquired neuromuscular junction disease with descending flaccid paralysis caused by botulinum neurotoxins (BoNTs), and it may occur as an adverse event after therapeutic or cosmetic use."
1674998448,Wound botulism,"Wound botulism is a rare infectious form of botulism, a rare acquired neuromuscular junction disease with descending flaccid paralysis due to botulinum neurotoxins (BoNTs), produced after infection of wounds by Clostridium botulinum."
1601222948,Adult intestinal botulism,"Adult intestinal botulism is a very rare form of botulism, a rare acquired neuromuscular junction disease with descending flaccid paralysis caused by botulinum neurotoxins (BoNTs), and is due to intestinal colonization by Clostridium botulinum leading to toxin-mediated infection with toxaemia."
2113104711,Infant intestinal botulism,"Infant botulism is a rare form of botulism, a rare acquired neuromuscular junction disease with descending flaccid paralysis caused by botulinum neurotoxins (BoNTs). It is due to intestinal colonization by Clostridium botulinum leading to toxin-mediated infection with toxaemia."
1373611689,Toxin-mediated infectious botulism,"Infectious botulism is a form of botulism, a rare acquired paralysing neuromuscular junction disease, characterised by descending flaccid paralysis caused by botulinum neurotoxins (BoNTs) produced in vivo leading to toxin-mediated infection. Infectious botulism includes wound botulism and intestinal toxaemia botulism (infant botulism and adult intestinal botulism)."
1964734963,Disorders of the neuromuscular junction in botulism,"Disorders of neuromuscular junction in botulism are rare diseases caused by exposure to the neurotoxins produced by the anaerobe Clostridium botulinum. The three toxin subtypes A, B and E all act by cleaving a coordinated assembly of proteins, such as syntaxin 1, SNAP 25 and synaptobrevin, that bring the vesicle and the plasma membranes into close apposition, in preparation for exocytosis. Their action prevents the close apposition of vesicles to the presynaptic membrane, leading to a failure of acetylcholine release."
1879176035,Foodborne Clostridium perfringens intoxication,No definition available
898030024,Foodborne Clostridium difficile intoxication,This refers to an intestinal disorder caused by eating foods contaminated with toxins produced by Clostridium difficile.
1722068323,Foodborne Bacillus cereus intoxication,No definition available
1486499049,Foodborne Vibrio vulnificus intoxication,No definition available
357187319,Foodborne Vibrio parahaemolyticus intoxication,"Foodborne Vibrio parahaemolyticus intoxication is gastroenteritis caused by attaching V. parahaemolyticus to an individuals' small intestine and excreting an as yet unidentified toxin. The incubation period is a mean of 15 hours after the ingestion of the organism. The symptoms with usually mild or moderate include diarrhoea, abdominal cramps, nausea, vomiting, headache, fever, and chills."
30738976,Viral intestinal infections,"Any condition of the intestines, caused by an infection with a viral source."
749414717,Enteritis due to Adenovirus,"A disease of the intestinal tract, caused by an infection with adenovirus. This disease is characterised by a fever, diarrhoea, or vomiting. Transmission is by the faecal-oral route."
1185210745,Gastroenteritis due to Astrovirus,No definition available
840750347,Gastroenteritis due to Rotavirus,"A disease of the gastrointestinal tract, caused by an infection with rotavirus. This disease is characterised by acute onset of vomiting, non-haemorrhagic diarrhoea, and abdominal pain. Transmission is by ingestion of contaminated food or water, direct contact, or through fomites. Confirmation is by identification of rotavirus."
1330790208,Enteritis due to Rotavirus,No definition available
1465325727,Enteritis due to Norovirus,"A disease of the gastrointestinal tract, caused by an infection with norovirus. This disease is characterised by acute onset of vomiting, non-haemorrhagic diarrhoea, and abdominal pain. Transmission is by ingestion of contaminated food or water, direct contact, or through fomites. Confirmation is by identification of norovirus."
2107201116,Herpes simplex virus duodenitis,"Duodenitis due to Herpes simplex virus, especially occurred in immunocompromised host."
1519125035,Intestinal infections due to Cytomegalovirus,"A condition of the intestinal tract, caused by an infection with cytomegalovirus. The condition is characterised by diarrhoea, fever, abdominal pain, or haematochezia. Transmission is by direct contact with infected body fluids."
206289572,Duodenitis due to Cytomegalovirus,"This is an inflammation of the lining of the duodenum caused by infection with a viral genus of the viral family Herpesviridae, cytomegalovirus."
80975888,Gastritis due to Cytomegalovirus,"This is an inflammation of the lining of the stomach caused by infection with a viral genus of the viral family Herpesviridae, cytomegalovirus."
880458538,Enteritis due to Cytomegalovirus,"This is an inflammation of the lining of the small intestine caused by infection with a viral genus of the viral family Herpesviridae, cytomegalovirus."
1286072823,Colitis due to Cytomegalovirus,"This is an inflammation of the lining of the large intestine caused by infection with a viral genus of the viral family Herpesviridae, cytomegalovirus."
768771612,Gastroenteritis due to Cytomegalovirus,No definition available
386699845,Human immunodeficiency virus disease enteritis,"This is an inflammation of small intestine associated with infection with human immunodeficiency virus (HIV). In diarrhoea, a major complication of human immunodeficiency virus (HIV) disease, the etiology of which is often obscure."
1016927100,Enteroviral gastritis,"This is an inflammation of the lining of the stomach from a genus of positive-sense single-stranded RNA viruses, enteroviruses."
1142254576,Viral colitis,"Viral colitis is inflammation of the large intestine due to infection by viruses. This includes infection with cytomegalovirus, herpes simplex virus, human papilloma virus and other viral infections in the large intestine."
330283195,Gastroenteritis due to Calicivirus,No definition available
58775965,Enteritis due to Enterovirus,No definition available
740678563,Enteritis due to Calicivirus,A viral infectious disease of the small bowel that results in secretory diarrhoea.
1737664788,Neonatal viral intestinal infection,No definition available
2066903544,Viral gastroduodenitis,No definition available
1988477684,Enteritis due to coxsackievirus,No definition available
730271848,Intestinal fungal infections,No definition available
1229869827,Candidosis of gastrointestinal tract,No definition available
2128097010,Oesophageal candidosis,Oesophageal candidiasis is an opportunistic infection of the oesophagus by Candida albicans. The disease usually occurs in patients in immunocompromised states.
1976615685,Gastric candidosis,Gastric candidiasis is an opportunistic infection of the stomach by Candida albicans. The disease usually occurs in patients in immunocompromised states.
442492326,Candida enteritis,This is an inflammation of small intestine caused by infection with Candida albicans. Enteric candidiasis is an opportunistic infection and the disease usually occurs in patients in immunocompromised states.
832554167,Duodenal candidosis,Duodenal candidiasis is an opportunistic infection of the duodenum by Candida albicans. The disease usually occurs in patients in immunocompromised states.
1973147394,Candida colitis,This is an inflammation of the colon caused by infection with Candida albicans. Colonic candidiasis is an opportunistic infection and the disease usually occurs in patients in immunocompromised states.
710893141,Invasive aspergillosis of the digestive tract,No definition available
117054880,Enterocolitis due to aspergillosis,This is an inflammation of the intestines caused by infection with fungi of the genus Aspergillus.
396906584,Hepatic or hepatosplenic aspergillosis,No definition available
1938512147,Oesophageal aspergillosis,Oesophageal inflammation caused by infection by fungi of the genus Aspergillus.
860568611,Fungal duodenitis,No definition available
2092703582,Protozoal intestinal infections,"Any condition of the intestines, caused by an infection with a protozoal parasitic source."
